Date,Snow_type,Trigger_type,Avalanche_size_m2,Avalanche_danger_level,Num_wet,Num_dry,Num_mixed,Num_unknown,Num_Natural,Num_Human,Num_Explosive,Num_Unknown_t
1998-12-07,dry,NATURAL,8762.0,3,0,1,0,0,1,0,0,0
1998-12-07,dry,NATURAL,30522.0,3,0,1,0,0,1,0,0,0
1998-12-07,dry,HUMAN,7837.0,3,0,1,0,0,0,1,0,0
1998-12-07,dry,NATURAL,1522.0,3,0,1,0,0,1,0,0,0
1998-12-07,dry,NATURAL,5929.0,3,0,1,0,0,1,0,0,0
1998-12-07,dry,NATURAL,4611.0,3,0,1,0,0,1,0,0,0
1998-12-07,dry,NATURAL,10561.0,3,0,1,0,0,1,0,0,0
1998-12-08,unknown,HUMAN,639.0,3,0,0,0,1,0,1,0,0
1998-12-08,unknown,HUMAN,891.0,3,0,0,0,1,0,1,0,0
1998-12-08,dry,HUMAN,24276.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,3920.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,8773.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,2291.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,3038.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,5702.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,1484.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,2737.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,1102.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,11671.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,3693.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,17666.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,1681.0,3,0,1,0,0,0,1,0,0
1998-12-08,dry,HUMAN,998.0,3,0,1,0,0,0,1,0,0
1998-12-10,dry,NATURAL,3654.0,3,0,1,0,0,1,0,0,0
1998-12-11,dry,NATURAL,14896.0,3,0,1,0,0,1,0,0,0
1998-12-11,dry,NATURAL,2323.0,3,0,1,0,0,1,0,0,0
1998-12-12,dry,HUMAN,178.0,3,0,1,0,0,0,1,0,0
1998-12-13,wet,NATURAL,3626.0,3,1,0,0,0,1,0,0,0
1998-12-13,wet,NATURAL,1409.0,3,1,0,0,0,1,0,0,0
1998-12-13,wet,NATURAL,444.0,3,1,0,0,0,1,0,0,0
1998-12-13,wet,NATURAL,6594.0,3,1,0,0,0,1,0,0,0
1998-12-13,wet,NATURAL,4566.0,3,1,0,0,0,1,0,0,0
1998-12-13,wet,NATURAL,16351.0,3,1,0,0,0,1,0,0,0
1998-12-13,wet,NATURAL,2423.0,3,1,0,0,0,1,0,0,0
1998-12-14,dry,HUMAN,28100.0,3,0,1,0,0,0,1,0,0
1998-12-14,dry,HUMAN,11857.0,3,0,1,0,0,0,1,0,0
1998-12-14,dry,HUMAN,17584.0,3,0,1,0,0,0,1,0,0
1998-12-14,dry,NATURAL,4252.0,3,0,1,0,0,1,0,0,0
1998-12-14,dry,HUMAN,6434.0,3,0,1,0,0,0,1,0,0
